Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Austria,Plantains,2008,86417,1110,101.53,6.35
Italy,Potatoes,1995,182571,832,143.58,13.5
Mexico,Yams,1999,146305,758,122.66,21.0
USA,Soybeans,1990,24969,715,154.17,8.5
Italy,Maize,1994,59554,832,133.36,13.5
Mexico,Maize,2007,67980,758,89.03,21.0
Japan,Soybeans,1994,23599,1668,133.38,12.0
Thailand,Cassava,2010,149972,1622,96.38,28.0
Italy,Wheat,1990,27051,832,152.97,13.5
Turkey,Wheat,2000,38770,574,117.3,11.1
USA,Wheat,2007,32094,715,96.56,8.5
Egypt,Cassava,1999,135531,51,119.79,22.5
Austria,Yams,1996,113130,1110,125.2,6.35
France,Plantains,1992,69937,867,150.41,12.5
USA,Plantains,2002,87033,715,123.78,8.5
Egypt,Potatoes,1994,178434,51,140.94,22.5
Indonesia,Sorghum,1991,16708,2702,138.81,26.5
Canada,Maize,2008,59559,537,102.51,-5.35
Indonesia,Wheat,1996,36536,2702,133.08,26.5
Vietnam,Cassava,2005,161302,1821,105.05,25.5
Mexico,Sweet potatoes,2007,202251,758,90.82,21.0
Pakistan,Wheat,2007,30389,494,106.88,19.0
United Kingdom,Plantains,2012,90916,1220,87.08,9.5
Bangladesh,Potatoes,1991,198257,2666,137.48,25.5
Vietnam,Yams,2012,170126,1821,76.1,25.5
Italy,Yams,2001,133450,832,122.46,13.5
Japan,Potatoes,2011,238115,1668,77.75,12.0
Indonesia,Plantains,2004,79711,2702,98.5,26.5
Bangladesh,Maize,2011,66314,2666,93.8,25.5
Mexico,Sweet potatoes,1990,132144,758,156.05,21.0
Japan,Wheat,2012,45867,1668,75.33,12.0
Thailand,Sweet potatoes,2000,164211,1622,112.13,28.0
Mexico,Sorghum,2000,21432,758,128.86,21.0
Spain,Yams,1990,117828,636,148.06,14.0
Mexico,Wheat,2007,42405,758,107.57,21.0
Brazil,Potatoes,1999,212811,1761,123.28,25.0
Turkey,Yams,2004,138179,574,109.53,11.1
Turkey,Wheat,2007,37456,574,90.68,11.1
United Kingdom,Sorghum,2000,15772,1220,127.69,9.5
Brazil,Maize,2007,72401,1761,93.49,25.0
Belgium,Plantains,1993,77729,847,145.23,10.5
Argentina,Potatoes,1990,188600,590,141.13,16.0
India,Soybeans,2002,37686,1083,115.59,25.0
Mexico,Potatoes,1999,231671,758,131.77,21.0
India,Rice,1994,52644,1083,140.97,25.0
Austria,Plantains,2007,87166,1110,105.84,6.35
Spain,Wheat,2010,35569,636,85.4,14.0
Indonesia,Sweet potatoes,2005,170465,2702,98.84,26.5
Germany,Maize,1990,43558,700,142.48,8.5
France,Maize,2008,65893,867,90.41,12.5
Netherlands,Plantains,2004,76224,850,116.04,9.5
Argentina,Maize,1996,49400,590,127.55,16.0
Brazil,Cassava,2000,164974,1761,126.57,25.0
Canada,Sorghum,1996,13420,537,123.7,-5.35
Egypt,Sorghum,1994,15694,51,132.66,22.5
Pakistan,Plantains,2012,74770,494,88.85,19.0
Austria,Plantains,2001,68852,1110,109.43,6.35
Japan,Plantains,2000,72745,1668,115.35,12.0
Argentina,Potatoes,1994,166541,590,144.99,16.0
Australia,Sweet potatoes,2011,161567,534,78.44,21.65
Spain,Sweet potatoes,1998,153813,636,130.25,14.0
Canada,Yams,2004,103539,537,105.02,-5.35
Turkey,Sorghum,1994,16933,574,130.81,11.1
Bangladesh,Plantains,1990,65826,2666,158.64,25.5
United Kingdom,Soybeans,2012,31934,1220,91.8,9.5
Egypt,Maize,2002,50734,51,113.01,22.5
Turkey,Sweet potatoes,2002,154567,574,122.27,11.1
India,Rice,1998,56822,1083,133.36,25.0
Germany,Sweet potatoes,2013,197688,700,73.67,8.5
Vietnam,Potatoes,1998,227021,1821,128.5,25.5
Canada,Soybeans,1995,23177,537,126.14,-5.35
Germany,Maize,2003,53791,700,114.82,8.5
Italy,Wheat,2003,31858,832,118.5,13.5
Vietnam,Plantains,1996,67414,1821,127.89,25.5
France,Cassava,1993,118513,867,135.97,12.5
Netherlands,Yams,1996,120944,850,125.29,9.5
Australia,Plantains,2005,97329,534,99.94,21.65
Canada,Yams,2009,125297,537,90.62,-5.35
Indonesia,Wheat,1995,31860,2702,136.75,26.5
Australia,Wheat,2002,40558,534,112.39,21.65
Italy,Sweet potatoes,2013,194569,832,73.17,13.5
Mexico,Potatoes,2011,212860,758,92.48,21.0
France,Soybeans,2001,31089,867,118.1,12.5
Indonesia,Yams,2006,149958,2702,102.87,26.5
Germany,Wheat,2003,34089,700,110.5,8.5
Albania,Potatoes,2005,184251,1485,102.17,16.37
Canada,Yams,1992,80986,537,144.65,-5.35
Brazil,Plantains,2007,97911,1761,96.51,25.0
Mexico,Soybeans,2005,30273,758,108.46,21.0
Argentina,Maize,2008,69416,590,93.53,16.0
Italy,Potatoes,2010,221400,832,86.4,13.5
Germany,Potatoes,2000,213938,700,121.93,8.5
Austria,Wheat,1997,28855,1110,126.35,6.35
India,Sweet potatoes,2004,161309,1083,109.93,25.0
Turkey,Sorghum,1999,19537,574,122.62,11.1
Vietnam,Potatoes,2010,240010,1821,89.96,25.5
Pakistan,Soybeans,2008,26354,494,93.9,19.0
Netherlands,Potatoes,2007,221193,850,91.81,9.5
Belgium,Potatoes,1999,166291,847,120.9,10.5
Bangladesh,Cassava,2013,172294,2666,88.58,25.5
Mexico,Wheat,1999,32272,758,128.42,21.0
China,Potatoes,2013,231836,645,77.14,8.5
Australia,Sorghum,1996,20021,534,123.83,21.65
Austria,Sweet potatoes,2006,141778,1110,95.48,6.35
Germany,Plantains,2012,88986,700,77.03,8.5
Australia,Maize,1994,57881,534,139.33,21.65
France,Rice,1993,50250,867,142.99,12.5
Belgium,Wheat,1990,26448,847,145.96,10.5
Japan,Plantains,2010,91009,1668,97.87,12.0
Germany,Cassava,2001,155111,700,126.4,8.5
Albania,Maize,1997,50002,1485,122.64,16.37
France,Cassava,2001,131917,867,109.4,12.5
Vietnam,Potatoes,2004,208063,1821,102.58,25.5
Turkey,Rice,2006,50278,574,99.97,11.1
Spain,Yams,2009,123651,636,96.48,14.0
Vietnam,Yams,2001,131644,1821,118.94,25.5
Brazil,Maize,2000,68288,1761,112.56,25.0
Belgium,Maize,1991,47875,847,145.19,10.5
Germany,Potatoes,1992,166831,700,149.5,8.5
India,Maize,1998,63556,1083,125.35,25.0
Canada,Wheat,2004,32033,537,113.85,-5.35
India,Sorghum,2004,19432,1083,102.27,25.0
Austria,Rice,1995,49103,1110,141.12,6.35
France,Soybeans,2008,35978,867,99.38,12.5
Bangladesh,Rice,1993,49257,2666,149.74,25.5
Pakistan,Yams,1993,88565,494,134.43,19.0
Mexico,Soybeans,2001,33070,758,125.95,21.0
China,Rice,2013,55551,645,75.49,8.5
Belgium,Sorghum,1995,18326,847,126.45,10.5
Canada,Soybeans,1997,25645,537,130.49,-5.35
Spain,Sweet potatoes,1995,143782,636,125.01,14.0
Argentina,Plantains,2004,76224,590,114.6,16.0
Austria,Cassava,2006,164172,1110,101.09,6.35
Pakistan,Plantains,2011,68273,494,80.97,19.0
Thailand,Rice,2008,57075,1622,105.1,28.0
India,Sorghum,2005,18499,1083,109.08,25.0
Italy,Sweet potatoes,1990,143749,832,141.05,13.5
Austria,Rice,2003,50142,1110,116.61,6.35
India,Maize,2001,71635,1083,122.24,25.0
Egypt,Rice,2009,52545,51,100.79,22.5
Canada,Rice,2011,53881,537,80.93,-5.35
China,Plantains,2004,78789,645,104.79,8.5
Turkey,Soybeans,1995,31105,574,129.84,11.1
India,Cassava,1997,154677,1083,135.53,25.0
Germany,Maize,2013,60011,700,89.96,8.5
Egypt,Soybeans,1991,22545,51,141.12,22.5
Vietnam,Wheat,1998,36040,1821,121.0,25.5
Austria,Cassava,2009,153090,1110,97.75,6.35
Japan,Yams,2011,134558,1668,94.14,12.0
Bangladesh,Wheat,2001,34374,2666,107.66,25.5
Indonesia,Soybeans,1996,32043,2702,125.74,26.5
Vietnam,Sorghum,2006,20468,1821,103.76,25.5
Australia,Rice,1993,50451,534,146.37,21.65
Mexico,Yams,2004,135963,758,102.67,21.0
Germany,Potatoes,2004,217800,700,110.02,8.5
United Kingdom,Rice,2003,57581,1220,115.28,9.5
Vietnam,Potatoes,1990,197200,1821,152.01,25.5
Pakistan,Soybeans,2009,26029,494,100.61,19.0
United Kingdom,Cassava,2012,135809,1220,78.55,9.5
France,Wheat,2000,32465,867,128.69,12.5
Canada,Potatoes,2013,174957,537,89.83,-5.35
Australia,Wheat,2000,33977,534,129.02,21.65
Australia,Sorghum,2008,19998,534,102.49,21.65
Netherlands,Sweet potatoes,1996,150369,850,138.59,9.5
Belgium,Soybeans,2011,35896,847,91.26,10.5
Argentina,Soybeans,1997,26833,590,130.43,16.0
Australia,Soybeans,2001,33718,534,119.68,21.65
USA,Soybeans,2011,37145,715,78.56,8.5
Australia,Cassava,2002,134247,534,119.6,21.65
Argentina,Plantains,1992,75910,590,151.24,16.0
Canada,Yams,1997,94109,537,127.62,-5.35
Albania,Soybeans,1991,25196,1485,143.78,16.37
United Kingdom,Wheat,1998,34210,1220,117.57,9.5
Mexico,Rice,2007,70164,758,93.54,21.0
Turkey,Soybeans,1994,30483,574,139.47,11.1
China,Cassava,1995,131189,645,138.3,8.5
Brazil,Soybeans,1991,32217,1761,148.95,25.0
Japan,Sorghum,2004,17584,1668,115.13,12.0
Turkey,Yams,2000,128073,574,119.76,11.1
USA,Plantains,2009,82749,715,89.96,8.5
Japan,Plantains,2001,84726,1668,124.97,12.0
Brazil,Sorghum,1995,16547,1761,130.56,25.0
Bangladesh,Maize,1995,57204,2666,136.6,25.5
Vietnam,Yams,2009,144049,1821,91.71,25.5
Australia,Rice,1990,48043,534,155.34,21.65
Albania,Sweet potatoes,1998,130876,1485,129.17,16.37
Germany,Rice,2012,58659,700,80.84,8.5
Turkey,Plantains,1999,68393,574,132.52,11.1
Mexico,Yams,2013,176193,758,89.65,21.0
Italy,Wheat,1991,31483,832,154.45,13.5
Egypt,Soybeans,1999,23700,51,127.2,22.5
Australia,Sorghum,2010,23886,534,85.34,21.65
Japan,Cassava,1991,136475,1668,148.09,12.0
Australia,Soybeans,2006,40115,534,94.05,21.65
United Kingdom,Sweet potatoes,1996,139155,1220,132.23,9.5
Italy,Sweet potatoes,2004,170830,832,114.05,13.5
Mexico,Wheat,1992,30181,758,139.96,21.0
France,Plantains,2012,94292,867,81.84,12.5
Italy,Sweet potatoes,2006,150786,832,95.03,13.5
Indonesia,Soybeans,2001,35949,2702,113.57,26.5
Turkey,Maize,2002,60041,574,115.08,11.1
Netherlands,Rice,1998,48322,850,122.07,9.5
France,Rice,1990,38574,867,148.31,12.5
Turkey,Soybeans,1990,26089,574,154.41,11.1
Germany,Sorghum,2010,17470,700,91.01,8.5
Pakistan,Rice,2003,40635,494,120.73,19.0
Argentina,Wheat,2013,44910,590,86.25,16.0
Austria,Wheat,2002,31212,1110,112.79,6.35
Canada,Plantains,1998,66241,537,118.4,-5.35
Argentina,Wheat,2000,32444,590,119.25,16.0
Mexico,Maize,1992,49676,758,145.92,21.0
Spain,Cassava,1997,144674,636,124.41,14.0
Vietnam,Cassava,2010,153786,1821,92.2,25.5
Vietnam,Wheat,2000,38697,1821,112.53,25.5
Egypt,Plantains,1995,70513,51,143.3,22.5
Bangladesh,Cassava,1991,138923,2666,152.08,25.5
USA,Wheat,1994,32576,715,143.83,8.5
France,Plantains,1999,71975,867,117.08,12.5
Vietnam,Soybeans,2007,33046,1821,107.16,25.5
Belgium,Wheat,2006,33843,847,106.26,10.5
France,Potatoes,1995,183062,867,127.91,12.5
Thailand,Yams,1996,142840,1622,123.05,28.0
Thailand,Wheat,1993,33164,1622,136.83,28.0
United Kingdom,Rice,1990,48287,1220,144.62,9.5
France,Sorghum,2004,19763,867,109.35,12.5
Egypt,Plantains,2012,81139,51,84.98,22.5
Egypt,Rice,1993,35794,51,132.3,22.5
Bangladesh,Plantains,2009,83480,2666,84.6,25.5
Pakistan,Cassava,1998,116616,494,124.77,19.0
Netherlands,Plantains,2006,86510,850,98.41,9.5
Belgium,Yams,1996,109544,847,133.54,10.5
India,Potatoes,2012,269734,1083,82.64,25.0
Thailand,Soybeans,1994,29478,1622,128.96,28.0
Japan,Plantains,1996,72707,1668,140.14,12.0
Egypt,Rice,1995,42385,51,140.21,22.5
Indonesia,Sweet potatoes,2009,164375,2702,91.32,26.5
Brazil,Potatoes,1990,181008,1761,155.08,25.0
Austria,Cassava,2000,122976,1110,125.21,6.35
France,Wheat,2007,39290,867,97.55,12.5
India,Maize,1993,49718,1083,150.67,25.0
Pakistan,Soybeans,1999,23633,494,116.01,19.0
Vietnam,Cassava,1996,152859,1821,137.77,25.5
Belgium,Rice,1993,53458,847,142.47,10.5
Japan,Plantains,2004,71060,1668,104.41,12.0
Austria,Wheat,1990,34280,1110,146.92,6.35
Spain,Cassava,1994,122696,636,140.86,14.0
Australia,Soybeans,1995,32990,534,131.7,21.65
Albania,Plantains,2002,67295,1485,122.11,16.37
Brazil,Plantains,1999,90466,1761,130.1,25.0
China,Sorghum,2012,19114,645,88.76,8.5
Austria,Sweet potatoes,2007,176089,1110,102.21,6.35
Australia,Cassava,1997,143900,534,125.21,21.65
Spain,Cassava,2010,141081,636,84.63,14.0
China,Rice,1996,45133,645,125.26,8.5
Albania,Cassava,2008,163276,1485,105.1,16.37
Spain,Yams,1998,130917,636,128.81,14.0
Pakistan,Plantains,2013,65853,494,80.99,19.0
Thailand,Soybeans,2002,36268,1622,110.02,28.0
Mexico,Cassava,1999,171588,758,113.8,21.0
Australia,Wheat,2007,39781,534,102.03,21.65
Austria,Cassava,2001,127855,1110,117.71,6.35
Belgium,Yams,2005,131774,847,114.01,10.5
Italy,Sorghum,2011,16808,832,83.77,13.5
Thailand,Sorghum,2000,18375,1622,123.88,28.0
Australia,Rice,2009,57434,534,87.61,21.65
United Kingdom,Rice,2013,63866,1220,88.04,9.5
Thailand,Sweet potatoes,1991,136976,1622,139.56,28.0
Vietnam,Maize,1998,65680,1821,127.78,25.5
Mexico,Maize,2011,67664,758,80.28,21.0
Egypt,Rice,1991,35848,51,155.36,22.5
Indonesia,Sweet potatoes,2004,168829,2702,114.79,26.5
United Kingdom,Sorghum,2008,18437,1220,93.3,9.5
India,Yams,1990,130944,1083,149.06,25.0
Canada,Sweet potatoes,2003,119598,537,119.71,-5.35
India,Maize,2009,72367,1083,85.86,25.0
Thailand,Yams,1999,138004,1622,123.25,28.0
Australia,Cassava,2006,173621,534,104.36,21.65
Vietnam,Rice,2009,69028,1821,101.13,25.5
Bangladesh,Rice,1991,57982,2666,137.44,25.5
Egypt,Soybeans,1996,24269,51,133.39,22.5
Australia,Cassava,2003,139044,534,110.61,21.65
United Kingdom,Soybeans,1993,30677,1220,139.29,9.5
Turkey,Sweet potatoes,2006,165046,574,101.96,11.1
France,Cassava,1994,141528,867,144.18,12.5
Spain,Sorghum,2006,18523,636,110.82,14.0
Japan,Potatoes,1991,166826,1668,139.86,12.0
Netherlands,Sweet potatoes,2003,165631,850,103.27,9.5
China,Sweet potatoes,1998,155657,645,126.0,8.5
Thailand,Yams,2013,168178,1622,89.48,28.0
China,Potatoes,2002,229387,645,104.13,8.5
Belgium,Sweet potatoes,1994,149429,847,140.45,10.5
Pakistan,Sweet potatoes,2004,110767,494,107.02,19.0
Austria,Plantains,1999,76274,1110,121.79,6.35
Australia,Rice,2008,63104,534,98.15,21.65
Brazil,Maize,1999,53764,1761,121.5,25.0
India,Cassava,2010,169504,1083,88.98,25.0
Germany,Plantains,2008,81913,700,92.0,8.5
Canada,Yams,1994,107045,537,133.93,-5.35
India,Soybeans,2011,40721,1083,79.12,25.0
China,Soybeans,2002,26447,645,120.37,8.5
France,Wheat,2011,37914,867,95.19,12.5
Canada,Plantains,2003,73994,537,111.93,-5.35
Brazil,Plantains,2000,71758,1761,119.33,25.0
Bangladesh,Maize,2002,61974,2666,119.77,25.5
Egypt,Maize,1994,49298,51,139.11,22.5
China,Sweet potatoes,1999,133679,645,125.38,8.5
Vietnam,Sweet potatoes,1990,125077,1821,153.96,25.5
USA,Maize,2005,61197,715,105.87,8.5
Thailand,Plantains,2008,93316,1622,99.85,28.0
Egypt,Plantains,1996,71658,51,139.48,22.5
Austria,Soybeans,2010,36902,1110,97.36,6.35
Australia,Wheat,1991,31722,534,137.44,21.65
France,Potatoes,1990,153907,867,143.27,12.5
USA,Plantains,2006,87236,715,104.68,8.5
Mexico,Cassava,2002,159814,758,115.72,21.0
Vietnam,Soybeans,2003,37720,1821,101.91,25.5
Brazil,Wheat,2012,43772,1761,75.12,25.0
Vietnam,Rice,2003,55984,1821,107.11,25.5
Mexico,Yams,1997,126029,758,136.19,21.0
Pakistan,Maize,2008,57235,494,90.47,19.0
Bangladesh,Soybeans,2004,33278,2666,114.38,25.5
Canada,Sorghum,2013,15282,537,87.08,-5.35
Egypt,Maize,1993,50647,51,133.21,22.5
Belgium,Sorghum,2001,16326,847,111.65,10.5
United Kingdom,Sweet potatoes,2009,151326,1220,91.87,9.5
United Kingdom,Sorghum,2002,16003,1220,123.72,9.5
Indonesia,Sweet potatoes,2001,160425,2702,113.46,26.5
Canada,Cassava,2002,106335,537,118.49,-5.35
Thailand,Sweet potatoes,1994,147568,1622,140.18,28.0
Bangladesh,Rice,2001,58695,2666,111.51,25.5
Bangladesh,Maize,2000,57099,2666,111.17,25.5
Belgium,Wheat,1996,28308,847,129.4,10.5
Japan,Plantains,2011,91743,1668,83.64,12.0
Argentina,Yams,2009,141605,590,95.01,16.0
India,Sweet potatoes,1992,165456,1083,136.04,25.0
Indonesia,Sorghum,2006,20416,2702,100.64,26.5
Brazil,Plantains,2009,86948,1761,94.18,25.0
Indonesia,Rice,1991,63324,2702,150.76,26.5
Vietnam,Sorghum,1999,17705,1821,122.51,25.5
Germany,Wheat,1998,31349,700,124.75,8.5
Netherlands,Sorghum,2009,19628,850,102.74,9.5
Turkey,Sweet potatoes,2011,179101,574,77.78,11.1
Spain,Maize,1996,51204,636,131.73,14.0
Belgium,Sweet potatoes,1995,124948,847,136.57,10.5
Austria,Maize,2009,63008,1110,98.96,6.35
USA,Rice,1990,50545,715,150.74,8.5
Egypt,Potatoes,2008,206446,51,93.55,22.5
Austria,Cassava,1993,139944,1110,133.61,6.35
Italy,Sorghum,2012,21897,832,87.61,13.5
Bangladesh,Sweet potatoes,2002,153659,2666,109.09,25.5
Bangladesh,Potatoes,2003,222287,2666,116.03,25.5
Belgium,Wheat,2007,35248,847,106.8,10.5
Australia,Rice,2003,65880,534,109.35,21.65
Bangladesh,Wheat,2009,38839,2666,93.93,25.5
Bangladesh,Sweet potatoes,1994,149673,2666,140.14,25.5
Egypt,Rice,1998,49470,51,130.31,22.5
Egypt,Cassava,2013,125840,51,82.27,22.5
France,Soybeans,1992,29966,867,144.43,12.5
Egypt,Plantains,2011,70083,51,83.68,22.5
Italy,Sorghum,2000,18375,832,114.91,13.5
Albania,Rice,2001,53043,1485,124.85,16.37
Japan,Wheat,2009,34568,1668,102.62,12.0
Spain,Maize,1993,55158,636,132.05,14.0
China,Maize,2008,70726,645,89.36,8.5
Netherlands,Rice,1992,45381,850,136.58,9.5
Egypt,Cassava,2009,148481,51,101.06,22.5
Mexico,Potatoes,2001,205012,758,123.52,21.0
India,Sweet potatoes,1995,146456,1083,133.76,25.0
Egypt,Yams,2010,103463,51,99.2,22.5
Indonesia,Wheat,2006,44140,2702,101.3,26.5
Bangladesh,Soybeans,2012,34487,2666,76.84,25.5
Turkey,Plantains,2010,83595,574,90.09,11.1
Egypt,Rice,2013,57977,51,83.59,22.5
Spain,Plantains,1990,65265,636,147.96,14.0
Spain,Plantains,2001,84809,636,125.38,14.0
Vietnam,Rice,2001,53068,1821,111.03,25.5
Germany,Yams,2004,139493,700,102.08,8.5
United Kingdom,Maize,1991,43805,1220,140.42,9.5
Mexico,Cassava,2010,170935,758,84.1,21.0
Mexico,Plantains,2001,77753,758,108.41,21.0
Austria,Yams,1994,123765,1110,141.78,6.35
Bangladesh,Wheat,1990,32487,2666,153.02,25.5
Albania,Sweet potatoes,2009,157977,1485,84.42,16.37
Netherlands,Wheat,1992,32827,850,140.79,9.5
Indonesia,Sorghum,2011,23350,2702,91.05,26.5
China,Cassava,2011,180870,645,80.54,8.5
France,Sorghum,2007,18368,867,94.23,12.5
Netherlands,Sorghum,2006,18057,850,102.55,9.5
Egypt,Soybeans,2002,28167,51,116.47,22.5
China,Soybeans,1997,29283,645,125.61,8.5
Netherlands,Plantains,1992,58397,850,144.44,9.5
Brazil,Rice,1994,59821,1761,138.93,25.0
USA,Potatoes,2007,211835,715,100.99,8.5
Pakistan,Plantains,1998,51982,494,122.28,19.0
Albania,Yams,2000,135470,1485,118.48,16.37
Bangladesh,Rice,1995,66985,2666,139.62,25.5
Germany,Sweet potatoes,2005,141590,700,99.18,8.5
China,Maize,1999,62430,645,121.06,8.5
Spain,Wheat,2005,37716,636,98.98,14.0
Thailand,Soybeans,1996,32397,1622,137.91,28.0
Belgium,Plantains,2002,81723,847,113.54,10.5
France,Maize,2009,58175,867,94.43,12.5
Australia,Yams,1991,128799,534,143.74,21.65
Bangladesh,Cassava,2010,144187,2666,91.98,25.5
Japan,Cassava,2008,145825,1668,89.1,12.0
Pakistan,Wheat,1990,25526,494,152.96,19.0
Spain,Potatoes,1996,168210,636,139.43,14.0
Canada,Soybeans,1992,22679,537,139.47,-5.35
Germany,Yams,2008,125545,700,103.16,8.5
Italy,Plantains,2009,95304,832,85.33,13.5
Pakistan,Plantains,2005,71445,494,105.65,19.0
Bangladesh,Sorghum,1995,18723,2666,142.59,25.5
United Kingdom,Plantains,1992,73293,1220,134.67,9.5
France,Soybeans,1990,26980,867,141.83,12.5
Netherlands,Sweet potatoes,1995,129377,850,140.59,9.5
Egypt,Sweet potatoes,1991,125107,51,152.84,22.5
Argentina,Sorghum,1991,16355,590,146.25,16.0
India,Maize,1999,53568,1083,121.57,25.0
France,Wheat,1991,26332,867,154.6,12.5
Netherlands,Sorghum,2011,22540,850,78.89,9.5
Spain,Plantains,2005,69350,636,112.22,14.0
Germany,Cassava,1993,123063,700,131.9,8.5
Belgium,Yams,1990,98349,847,142.37,10.5
Bangladesh,Sorghum,1994,18498,2666,132.1,25.5
China,Yams,2013,141914,645,79.11,8.5
Italy,Soybeans,1998,31963,832,134.73,13.5
Japan,Maize,2007,65625,1668,100.82,12.0
United Kingdom,Sweet potatoes,2003,157679,1220,110.69,9.5
Canada,Sorghum,1992,11408,537,150.95,-5.35
Spain,Sweet potatoes,2004,134766,636,108.75,14.0
Pakistan,Wheat,2010,29467,494,97.58,19.0
Netherlands,Yams,1991,91990,850,150.35,9.5
Thailand,Rice,2007,54077,1622,103.51,28.0
Germany,Wheat,1990,30825,700,155.24,8.5
Austria,Cassava,1999,126385,1110,113.38,6.35
Vietnam,Sweet potatoes,2011,189398,1821,77.4,25.5
Turkey,Sweet potatoes,1991,125332,574,149.88,11.1
Brazil,Rice,2008,60091,1761,92.14,25.0
Pakistan,Rice,1993,32123,494,148.58,19.0
China,Maize,1993,53224,645,150.42,8.5
Argentina,Plantains,2006,90183,590,97.86,16.0
Mexico,Soybeans,1994,26209,758,146.69,21.0
Mexico,Plantains,2013,84741,758,86.4,21.0
Egypt,Plantains,1998,58892,51,132.46,22.5
Netherlands,Potatoes,1998,166366,850,132.12,9.5
Japan,Wheat,2007,34633,1668,99.17,12.0
Argentina,Wheat,1991,32652,590,138.33,16.0
France,Maize,2013,66076,867,72.6,12.5
Bangladesh,Sweet potatoes,1996,148625,2666,126.75,25.5
United Kingdom,Potatoes,1996,171680,1220,133.2,9.5
Japan,Sorghum,1997,18349,1668,127.81,12.0
Egypt,Rice,1999,43342,51,119.39,22.5
Mexico,Sorghum,1996,16318,758,125.86,21.0
China,Yams,2009,152770,645,88.54,8.5
Canada,Cassava,1996,111222,537,132.2,-5.35
Bangladesh,Sorghum,2011,23124,2666,94.14,25.5
Germany,Rice,2002,56890,700,123.04,8.5
Albania,Maize,2012,69742,1485,79.18,16.37
China,Cassava,1992,128558,645,147.24,8.5
Brazil,Plantains,2011,81857,1761,84.45,25.0
Netherlands,Rice,2003,57047,850,110.65,9.5
Turkey,Maize,2001,58214,574,107.71,11.1
India,Soybeans,1997,33141,1083,123.5,25.0
Vietnam,Plantains,2002,79860,1821,116.55,25.5
United Kingdom,Sorghum,1990,15845,1220,145.31,9.5
Germany,Rice,2010,59710,700,98.19,8.5
France,Cassava,2011,168094,867,78.07,12.5
Argentina,Yams,1994,110880,590,145.37,16.0
Bangladesh,Soybeans,2001,35358,2666,121.39,25.5
Albania,Sorghum,2005,16579,1485,107.9,16.37
Belgium,Yams,2004,118759,847,115.34,10.5
Netherlands,Wheat,2009,37934,850,100.43,9.5
Argentina,Potatoes,2008,221723,590,93.01,16.0
Germany,Sorghum,2001,18602,700,126.35,8.5
Argentina,Yams,1996,98053,590,130.5,16.0
Albania,Plantains,2010,85755,1485,81.15,16.37
Germany,Sweet potatoes,2010,148046,700,97.7,8.5
Spain,Plantains,2009,76547,636,100.7,14.0
Italy,Potatoes,1993,154020,832,132.4,13.5
Germany,Sweet potatoes,2003,153884,700,107.52,8.5
Belgium,Sweet potatoes,1990,131734,847,159.83,10.5
Albania,Yams,2008,151881,1485,90.47,16.37
Pakistan,Sorghum,2000,14274,494,126.41,19.0
Australia,Soybeans,2011,41800,534,77.91,21.65
Thailand,Maize,2005,69918,1622,110.54,28.0
France,Sorghum,2008,19128,867,97.99,12.5
Egypt,Soybeans,2008,25695,51,90.88,22.5
France,Wheat,1993,28722,867,136.12,12.5
Australia,Sweet potatoes,2004,164563,534,117.52,21.65
Egypt,Plantains,1992,50273,51,142.6,22.5
France,Wheat,1995,33942,867,135.0,12.5
Mexico,Rice,2013,58143,758,90.16,21.0
Indonesia,Wheat,2005,38506,2702,97.16,26.5
Turkey,Maize,1990,48875,574,156.54,11.1
Netherlands,Sorghum,2002,19828,850,107.78,9.5
Thailand,Plantains,1991,81915,1622,138.16,28.0
Mexico,Soybeans,2002,36444,758,110.35,21.0
Mexico,Sweet potatoes,2003,170074,758,109.66,21.0
Italy,Soybeans,2004,26901,832,110.9,13.5
Thailand,Rice,1995,49146,1622,125.07,28.0
Austria,Rice,2001,58716,1110,123.8,6.35
Germany,Cassava,1990,106291,700,151.54,8.5
Indonesia,Sweet potatoes,2000,165037,2702,125.27,26.5
USA,Rice,2000,45548,715,110.38,8.5
Egypt,Maize,2006,57491,51,108.24,22.5
Indonesia,Wheat,2000,32782,2702,118.66,26.5
Egypt,Maize,2013,59099,51,71.08,22.5
Egypt,Potatoes,2002,165635,51,110.72,22.5
Australia,Plantains,2003,77265,534,120.43,21.65
Netherlands,Yams,1994,105713,850,137.0,9.5
USA,Wheat,2011,37093,715,88.2,8.5
Japan,Wheat,1993,30255,1668,150.01,12.0
Canada,Rice,2010,55484,537,97.26,-5.35
Spain,Yams,1997,107318,636,132.75,14.0
USA,Sorghum,1996,16552,715,127.81,8.5
India,Plantains,1995,66103,1083,144.16,25.0
Italy,Cassava,1998,146252,832,120.77,13.5
France,Maize,2001,63952,867,123.41,12.5
Netherlands,Cassava,2013,171146,850,87.81,9.5
Canada,Sweet potatoes,1992,119909,537,146.23,-5.35
Australia,Maize,1997,56440,534,119.62,21.65
Canada,Maize,1998,43140,537,131.22,-5.35
France,Rice,2012,60202,867,82.05,12.5
Mexico,Soybeans,2007,32971,758,91.73,21.0
Turkey,Rice,1996,43179,574,124.47,11.1
France,Cassava,2006,140448,867,110.91,12.5
Austria,Rice,2004,53204,1110,114.45,6.35
Australia,Potatoes,2007,243548,534,95.38,21.65
Australia,Potatoes,2008,245744,534,103.72,21.65
